Row_labels,Average_of_stars,Sum_of_review_count,Average_review_count,Count_of_review_count
Automotive,3.560040937,154019,0.029275969,8630
Bars & Restaurants,3.472300184,3035720,0.577030399,47102
Business & Tech Services,3.613380282,54700,0.010397389,4817
Education,3.990036232,27182,0.005166761,2043
Entertainment & Leisure,3.646175921,615132,0.116924441,19468
Food & Grocery Stores,3.674821878,300533,0.057125386,8262
Health & Wellness,3.834377538,392040,0.074519059,24893
Misc Retail,3.609672601,100118,0.019030454,7449
Other,3.364590463,92827,0.017644579,4099
Service Industry,3.762786596,488665,0.092885563,31759
Grand Total,3.632195661,5260936,,
